OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
124,53,Location 53,1,1064802,0.377412406485413,1,0,0,0.000000000000000,,351395.965201749,5816725.98006738,160.000000000000000,53,9572,Location 9572,1,1061408,0.230618549345333,2,0,0,0.000000000000000,,351468.990600001,5816706.9835
125,106,Location 106,1,1061755,0.526192629869434,1,0,0,0.000000000000000,,325359.972980027,5816834.0280203,160.000000000000000,106,6102,Location 6102,1,459718,0.127765355904009,2,0,0,0.000000000000000,,325456.0147,5816748.9722
126,106,Location 106,1,1061755,0.526192629869434,1,0,0,0.000000000000000,,325359.972980027,5816834.0280203,160.000000000000000,106,6121,Location 6121,1,488185,0.681123387172251,2,0,0,0.000000000000000,,325435.488800001,5816865.0506
127,107,Location 107,1,1065921,0.479930132448981,2,0,0,0.000000000000000,,326622.006821082,5816946.95936866,160.000000000000000,107,6147,Location 6147,1,1065386,0.713548970535623,1,0,0,0.000000000000000,,326619.982400001,5816981.0002
128,206,Location 206,1,1068261,0.852881536057668,2,0,0,0.000000000000000,,316976.022670965,5817081.01006762,160.000000000000000,206,6161,Location 6161,1,21784,0.845839962378157,2,0,0,0.000000000000000,,316963.5078,5817025.499
129,108,Location 108,1,1061753,0.604393898287578,2,0,0,0.000000000000000,,327250.001030489,5817341.0457526,160.000000000000000,108,6218,Location 6218,1,898952,0.092674644951663,2,0,0,0.000000000000000,,327326.014500001,5817353.4617
130,187,Location 187,1,1068902,0.937238568474548,2,0,0,0.000000000000000,,323432.980623185,5817826.04095369,160.000000000000000,187,6341,Location 6341,1,20431,0.931620321058457,2,0,0,0.000000000000000,,323513.9802,5817920.0346
131,187,Location 187,1,1068902,0.937238568474548,2,0,0,0.000000000000000,,323432.980623185,5817826.04095369,160.000000000000000,187,6345,Location 6345,1,876660,0.273075520700197,1,0,0,0.000000000000000,,323379.986700001,5817943.03
132,109,Location 109,1,1065866,0.382203856252153,2,0,0,0.000000000000000,,327847.984005266,5818026.97133866,160.000000000000000,109,6362,Location 6362,1,91470,0.020478412281259,1,0,0,0.000000000000000,,328005.0238,5818003.4972
133,109,Location 109,1,1065866,0.382203856252153,2,0,0,0.000000000000000,,327847.984005266,5818026.97133866,160.000000000000000,109,6367,Location 6367,1,889254,0.851572376857325,2,0,0,0.000000000000000,,327812.6608,5818030.6734
134,144,Location 144,1,934179,0.209209599777614,2,0,0,0.000000000000000,,320284.041946432,5817995.95070402,160.000000000000000,144,6382,Location 6382,1,198167,0.376736387541763,1,0,0,0.000000000000000,,320324.9858,5818098.5384
135,205,Location 205,1,1068253,0.638344484542094,2,0,0,0.000000000000000,,316718.027618524,5818140.96327686,160.000000000000000,205,6383,Location 6383,1,1068253,0.814164963320145,2,0,0,0.000000000000000,,316720.020100001,5818107.0319
136,174,Location 174,1,1063640,0.515482302558421,1,0,0,0.000000000000000,,307042.96939822,5818829.98066765,160.000000000000000,174,6533,Location 6533,1,15932,0.798449875585605,2,0,0,0.000000000000000,,307040.0399,5818751.9698
137,174,Location 174,1,1063640,0.515482302558421,1,0,0,0.000000000000000,,307042.96939822,5818829.98066765,160.000000000000000,174,6535,Location 6535,1,1063638,0.404783566361965,2,0,0,0.000000000000000,,307157.0077,5818764.976
138,143,Location 143,1,307034,0.256265043093929,2,0,0,0.000000000000000,,320364.99609218,5818717.00322878,160.000000000000000,143,6542,Location 6542,1,1067078,0.173298624803831,1,0,0,0.000000000000000,,320373.508900001,5818793.4605
139,204,Location 204,1,1068245,0.656989001828458,1,0,0,0.000000000000000,,316433.044713923,5819210.96725541,160.000000000000000,204,6633,Location 6633,1,775958,0.499151204768807,2,0,0,0.000000000000000,,316585.031600001,5819198.0297
140,204,Location 204,1,1068245,0.656989001828458,1,0,0,0.000000000000000,,316433.044713923,5819210.96725541,160.000000000000000,204,6640,Location 6640,1,1068248,0.355808352716896,1,0,0,0.000000000000000,,316449.179500001,5819206.3502
141,111,Location 111,1,1061748,0.828912934625069,1,0,0,0.000000000000000,,329165.042175876,5819366.99358286,160.000000000000000,111,6665,Location 6665,1,1064195,0.373054092691082,2,0,0,0.000000000000000,,329233.2486,5819347.2598
142,142,Location 142,1,1068874,0.544716849107290,2,0,0,0.000000000000000,,320448.997554515,5819468.98262896,160.000000000000000,142,6676,Location 6676,1,15826,0.951952831786923,2,0,0,0.000000000000000,,320393.010800002,5819400.9864
143,52,Location 52,1,421967,0.847985004121761,1,0,0,0.000000000000000,,354447.97922757,5820024.97442553,160.000000000000000,52,9795,Location 9795,1,1071256,0.589511546076324,1,0,0,0.000000000000000,,354394.426500001,5819923.1506
144,173,Location 173,1,1065339,0.375941532867619,1,0,0,0.000000000000000,,306170.959441485,5820214.03388092,160.000000000000000,173,6866,Location 6866,1,1065339,0.252564312214601,2,0,0,0.000000000000000,,306196.8061,5820248.4051
145,202,Location 202,1,473090,0.023977419856730,2,0,0,0.000000000000000,,317382.024620599,5820611.03644387,160.000000000000000,202,6921,Location 6921,1,749014,0.766709655351485,2,0,0,0.000000000000000,,317524.5182,5820616.0238
146,202,Location 202,1,473090,0.023977419856730,2,0,0,0.000000000000000,,317382.024620599,5820611.03644387,160.000000000000000,202,6922,Location 6922,1,473090,0.009837840916286,2,0,0,0.000000000000000,,317371.965800002,5820627.0237
147,112,Location 112,1,1065846,0.758356706168721,2,0,0,0.000000000000000,,329612.975341816,5820951.95522734,160.000000000000000,112,6987,Location 6987,1,1032958,0.251848511402282,1,0,0,0.000000000000000,,329646.9957,5820943.4989
148,141,Location 141,1,873109,0.709223369123518,1,0,0,0.000000000000000,,320552.970266997,5820819.00181065,160.000000000000000,141,6993,Location 6993,1,856923,0.749027042386754,1,0,0,0.000000000000000,,320590.7574,5820971.4727
149,183,Location 183,1,997402,0.436349797961321,1,0,0,0.000000000000000,,323821.000959269,5821297.02684181,160.000000000000000,183,7077,Location 7077,1,1004143,0.916179175813806,1,0,0,0.000000000000000,,323894.4924,5821406.5034
150,140,Location 140,1,306920,0.873224904066409,1,0,0,0.000000000000000,,320488.039872994,5821796.98442463,160.000000000000000,140,7150,Location 7150,1,13530,0.190123656592763,2,0,0,0.000000000000000,,320495.001900001,5821770.4901
151,172,Location 172,1,696535,0.622892480127175,1,0,0,0.000000000000000,,305573.993337849,5821930.0380763,160.000000000000000,172,7166,Location 7166,1,700884,0.708563429248268,1,0,0,0.000000000000000,,305624.988300001,5821843.0312
