OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize,EmpDen_surrogate,Population_surrogate,DestScore_surrogate
2016,2016-tram,tram,505-tram,333019.5235,5812967.023,600,260.0584875,1.8,0.036556461,0.047214534,0.214704798,54,0.21378463,0,1.645234627,0,0,0,2690.964378,0,41827.79257,56.23076923,4.461538462,0,0,56.23076923,650,0.01728425,0.673694979,1.03,-0.169,-0.316209173,0.549180658,2.816963434,826.1589574,2690.964378,5
152,152-tram,tram,499-tram,318803.0177,5812901.993,600,428.9334747,2.8,0.018404364,0.222507368,0.300117965,64,0.483671666,0,1.91700844,0,0,0,6810.638125,0,411413.3583,94.61538462,14.07692308,91.53846154,0,186.1538462,650,0.061607778,0.60134431,-0.895,2.95,1.256196096,0.647506566,2.307304594,21086.5233,6810.638125,4
154,154-tram,tram,501-tram,320669.0156,5812933.02,600,3675.018764,33.4,0.996253845,0.553479054,0.01392211,245,0.319796438,0,0.07463827,1,1,0,12828.03736,0,537654.6609,103.2307692,96.69230769,227.8461538,0,331.0769231,150,0.047809136,0.599061982,-0.333,16.2,2.534136686,0.48854298,2.290570354,93361.91212,12828.03736,7
169,169-tram,tram,522-tram,320582.0259,5813186.022,600,3825.636442,33.4,0.944682827,0.421526621,0.119251801,210,0.512451035,0,0.337100318,1,1,0,18016.05375,0,572881.0706,103.3076923,96.69230769,160,0,263.3076923,100,0.042086288,0.636024787,-0.835,13.1,5.658081111,0.48854298,2.266779076,91530.5891,18016.05375,7
2020,2020-tram,tram,507-tram,332706.5248,5813004.51,600,260.0584875,28.9,0.031820854,0.060204411,0.21974034,56,0.31997604,0,1.95891965,0,0,0,2709.806715,0,36774.18545,56.23076923,9.307692308,0,0,56.23076923,650,0.013397259,0.672054723,0.912,-0.156,-0.268002437,0.555771842,2.806237093,895.9964886,2709.806715,5
175,175-tram,tram,530-tram,320800.0135,5813263.048,600,9861.142691,3258.6,0.908609325,0.401819274,0.186619998,217,0.564769588,0,0.392908734,1,1,0,18084.85308,0,563978.7611,193.7692308,188.8461538,250.3846154,0,444.1538462,100,0.039822654,0.633563444,-0.555,12.3,5.606966482,0.48854298,2.266779076,86629.68176,18084.85308,7
2065,2065-tram,tram,527-tram,331113.0197,5813215.992,600,260.0584875,39.5,0.09329757,0.077897908,0.421316924,52,0.319994037,0,2.988336526,0,0,0,2916.768319,0,35227.72943,56.23076923,4.769230769,0,0,56.23076923,300,0.029052585,0.606433128,1.29,-0.194,-0.23849041,0.538126678,2.526123799,884.7292896,2916.768319,6
165,165-tram,tram,518-tram,320114.7595,5813102.013,600,1959.763174,47.3,0.816495092,0.346430633,0.321942915,188,0.639959773,0,0.645117068,0,1,0,16273.9696,0,599179.2201,117.6153846,65.61538462,0,0,117.6153846,150,0.056096915,0.619034277,-0.229,9.42,5.610872175,0.48854298,2.312158551,64967.0536,16273.9696,7
181,181-tram,tram,537-tram,320022.4761,5813342.488,600,589.1116797,178.5,0.806044757,0.284806675,0.334825427,172,0.307525863,0,0.837707415,0,1,0,16082.88032,0,557040.548,60.76923077,180.4615385,0,0,60.76923077,100,0.053429997,0.643296761,0.0157,6.45,6.342599608,0.48854298,2.266779076,50783.67541,16082.88032,7
170,170-tram,tram,523-tram,320329.9803,5813188.512,600,70.37979932,143,0.858187682,0.404231064,0.262251968,190,0.319999114,0,0.498190193,0,1,0,16511.11289,0,570132.9523,56.92307692,174.7692308,0,0,56.92307692,100,0.049466967,0.636844486,-0.362,10.9,5.661163223,0.48854298,2.266779076,79551.1268,16511.11289,7
188,188-tram,tram,542-tram,323153.0063,5813392.03,600,1146.084419,316.9,0.44469564,0.206196344,0.580377603,114,0.202276078,0,0.853475872,0,0,0,5634.235596,0,503409.9049,114.8461538,161.6923077,57,165.2307692,337.0769231,800,0.047789481,0.636444285,1.53,0.329,1.853060148,0.647506566,2.303059887,7036.091452,5634.235596,7
2100,2100-tram,tram,544-tram,323305.9887,5813396.54,600,1146.084419,115.8,0.370997542,0.189751751,0.55750895,102,0.400518701,0,0.702076769,0,0,0,6289.343168,0,489641.707,115,23.23076923,114.8461538,165.2307692,395.0769231,650,0.056266366,0.606797162,1.23,0.201,2.188225938,0.641957087,2.376868007,6608.557332,6289.343168,7
193,193-tram,tram,548-tram,320957.0361,5813437.992,600,66.44867771,27.6,0.830836094,0.352374891,0.309852677,212,0.319991975,0,0.607773414,0,1,0,16683.65876,0,519252.9369,29,34.15384615,0,0,29,100,0.042704385,0.637353627,-0.506,9.56,5.262679043,0.48854298,2.283220744,68446.8571,16683.65876,7
2117,2117-tram,tram,552-tram,322407.0167,5813467.988,600,1688.527128,145.2,0.464912124,0.180598403,0.677521286,133,0.240867442,0,0.637331068,0,0,0,4891.059053,0,452311.7913,114.6923077,121.9230769,0,0,114.6923077,800,0.042656965,0.652644585,2.98,0.945,-0.104327561,0.647506566,2.266779076,8333.6809,4891.059053,7
204,204-tram,tram,558-tram,321191.486,5813528.022,600,49.85776264,103,0.720008875,0.376883138,0.415066902,207,0.475033953,0,0.802759702,0,1,0,11949.01053,0,468608.9757,56.92307692,80.76923077,29,0,85.92307692,150,0.04467559,0.630793387,0.624,7.98,3.343021358,0.48854298,2.362023808,53550.50731,11949.01053,7
2122,2122-tram,tram,554-tram,329030.5107,5813487.012,600,200.9303154,45.1,0.017417107,0.061003137,0.306306913,43,0.319993465,0,2.113001656,0,0,0,2561.575586,0,43422.24817,56.46153846,10.15384615,0,0,56.46153846,650,0.018676167,0.662721576,0.96,-0.0254,-0.548144742,0.584248274,2.787262834,1123.322433,2561.575586,5
2110,2110-tram,tram,549-tram,322675.997,5813437.989,600,1688.527128,15.7,0.502129439,0.191089753,0.613824773,130,0.226152902,0,0.67849986,0,0,0,4825.532595,0,452287.2215,114.6923077,58.38461538,0,0,114.6923077,800,0.040942472,0.667660011,2.52,0.916,0.015815879,0.647506566,2.266779076,8085.535874,4825.532595,7
