OBJECTID,OBJECTID_MODE,Mode_Centroid,FacilityID,FacilityID_Mode,X,Y,Name,Target break,Mode standard,Standard?,Cluster sample?,FromBreak,ToBreak,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,1_Total_Pat,2_Empden,3_Popden,4_Dwell,5_ActDen,6_PropComm,7_RetailEmp,8_Balance,9_LUEntropy,10_HousingDiv,11_PedConnect,12_PBN,13_DestScore,14_DestCount,15_Parkiteer,16_CBDDist,17_ACDist,18_ACCount,19 _FTZ,20_Parking,21_PropUrban,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_PropFTE,29_MeanSize,30_MedInc,31_PropOS,32_PropBach,0.1_Centroid_patronage,0.2_Bus_patronage,0.2_Bus_Censored,ln_Centroid,ln_bus,ln_emp,ln_pop,Co-located_outlier_tracking
1917,1917-tram,tram,75,75-tram,324039.9997,5806775.969,Location 75 : 0 - 600,600,600,yes,No,0,600,50,1372,4000.693814,858824.1728,263.4484019,1206.19,6448.89,2616.24,7655.08,0.07,131.48,0.04,0.28,8,54.73,0,5,57,0,6.95,0.63,1,0,0,0.92,90928.57,95.38,29.92,0,0,95.38,0.62,2.46,650,0.08,0.57,263.45,18.6,18.6,5.57,2.92,7.1,8.77,
131,131-tram,tram,83,83-tram,322906.515,5806937.042,Location 83 : 0 - 600,600,600,yes,No,0,600,50,1420,3917.333756,871152.3717,323.7093417,3236.52,6785.33,3130.29,10021.86,0.26,202.09,0.06,0.62,8,151.52,0.32,7,77,0,6.33,0.51,1,0,0,0.81,362389.19,99,8.08,48.23,0,147.23,0.67,2.17,800,0.05,0.54,323.71,0.4,0.4,5.78,-0.92,8.08,8.82,
134,134-tram,tram,84,84-tram,322672.4777,5806966.515,Location 84 : 0 - 600,600,600,yes,No,0,600,50,1426,3769.170478,685124.5855,323.7093417,3754.35,6669.61,3021.41,10423.96,0.3,209.26,0.06,0.66,8,178.07,0,7,75,0,6.23,0.4,1,0,0,0.79,116945.23,75.85,8.15,0,0,75.85,0.67,2.21,800,0.05,0.51,323.71,5.4,5.4,5.78,1.69,8.23,8.81,
1959,1959-tram,tram,86,86-tram,322196.0396,5807011.05,Location 86 : 0 - 600,600,600,yes,No,0,600,50,1438,4121.024628,826328.934,656.0740433,3801.3,6485.93,3046.96,10287.23,0.16,209.56,0.06,0.64,8,114.97,0,6,70,0,6.05,0.17,1,0,0,0.74,168599.82,38.38,49,137.77,0,176.15,0.67,2.13,800,0.05,0.51,656.07,90.2,90.2,6.49,4.5,8.24,8.78,
140,140-tram,tram,87,87-tram,322053.4979,5807015.51,Location 87 : 0 - 600,600,600,yes,No,0,600,50,1444,3940.205395,740490.1377,1312.148087,3784.83,5695.21,2684.75,9480.04,0.15,208.65,0.07,0.7,8,120.19,0,5,57,0,6.01,0.28,1,0,0,0.66,168599.82,137.77,32.69,38.38,0,176.15,0.68,2.12,800,0.05,0.5,1312.15,84.3,84.3,7.18,4.43,8.24,8.65,
1954,1954-tram,tram,85,85-tram,322420.9842,5807009.481,Location 85 : 0 - 600,600,600,yes,No,0,600,50,1432,4660.805999,926867.6921,323.7093417,3803.3,6745.1,3115.89,10548.39,0.19,209.67,0.06,0.65,8,154.28,0.32,5,70,0,6.11,0.2,1,0,0,0.75,190430.1,76,96.38,0,0,76,0.67,2.16,800,0.06,0.51,323.71,102,102,5.78,4.62,8.24,8.82,
145,145-tram,tram,90,90-tram,321749.4746,5807207.526,Location 90 : 0 - 600,600,600,yes,No,0,600,50,1462,3355.892798,606109.1557,1312.148087,3613.77,5140.52,2418.1,8754.29,0.09,199.22,0.07,0.69,8,161.69,0.31,6,46,0,5.76,0.64,0,0,0,0.57,168599.82,137.54,24.69,0,0,137.54,0.66,2.13,650,0.06,0.49,1312.15,5.6,5.6,7.18,1.72,8.19,8.54,
2004,2004-tram,tram,96,96-tram,328480.0146,5807363.04,Location 96 : 0 - 600,600,600,yes,tram,0,600,50,1498,4441.525257,833330.0421,55.50983926,1559.27,2845.9,1009.54,4405.17,0.02,355.58,0.22,0.32,8,87.6,0,5,34,0,9.52,1.42,0,0,0,0.85,30850.32,52,3.15,0,0,52,0.57,2.82,800,0.02,0.69,55.51,5.2,5.2,4.02,1.65,7.35,7.95,
2062,2062-tram,tram,109,109-tram,325782.4658,5807568,Location 109 : 0 - 600,600,600,yes,No,0,600,50,1576,4173.248365,830523.0534,78.99395963,1957.55,5181.42,2242.54,7138.96,0,258.17,0.09,0.22,8,84.28,0,4,56,0,7.34,0.85,0,0,0,0.88,124315.73,42.54,25.69,26.15,0,68.69,0.63,2.31,800,0.07,0.64,78.99,13,13,4.37,2.56,7.58,8.55,
2035,2035-tram,tram,103,103-tram,327604.4982,5807474.029,Location 103 : 0 - 600,600,600,yes,No,0,600,50,1540,4085.461169,879622.1735,111.0196785,1635.91,3724.4,1333.34,5360.31,0.02,243.91,0.12,0.2,8,59.12,0.32,5,40,0,8.75,1.08,0,0,0,0.93,117721.72,52.15,16.77,0,0,52.15,0.58,2.79,800,0.02,0.68,111.02,18.6,18.6,4.71,2.92,7.4,8.22,
