,Factor1,Factor2,Factor3
3368-bus,-1.77,-0.03,-0.09
3991-bus,-1.60,0.30,-1.10
11084-bus,-2.04,0.12,-0.41
10988-bus,-1.44,0.16,-0.77
3049-bus,-1.82,0.21,-0.77
11081-bus,-1.92,0.21,-0.69
11054-bus,-0.80,0.19,-1.13
7042-bus,-1.32,-0.54,1.33
6783-bus,-0.91,-0.43,0.94
3458-bus,-1.97,0.25,-0.82
11086-bus,-2.01,0.11,-0.38
6910-bus,0.10,-0.47,0.57
12733-bus,0.60,-0.13,0.09
3472-bus,-1.97,0.25,-0.83
4083-bus,-1.78,-0.06,0.00
10949-bus,-1.90,0.18,-0.63
2998-bus,-1.41,0.27,-1.12
11030-bus,-1.33,0.22,-0.98
10940-bus,-1.89,0.18,-0.64
3445-bus,-1.92,0.13,-0.50
11087-bus,-1.98,0.15,-0.50
2958-bus,-2.14,0.28,-0.83
3050-bus,-1.77,0.22,-0.82
12282-bus,-1.50,0.09,-0.54
10928-bus,-1.65,0.20,-0.80
11041-bus,-0.75,0.17,-1.07
12768-bus,-2.04,0.04,-0.16
3389-bus,-1.97,0.08,-0.34
3047-bus,-1.79,0.20,-0.73
3367-bus,-1.77,0.11,-0.48
3359-bus,-1.78,0.11,-0.47
11089-bus,-2.00,0.16,-0.53
3993-bus,-1.60,0.30,-1.10
3007-bus,-1.12,0.25,-1.18
4566-bus,-0.54,0.30,-1.57
3331-bus,-1.82,0.10,-0.44
3008-bus,-1.77,0.26,-0.93
3005-bus,-1.65,0.24,-0.92
11098-bus,-1.99,0.21,-0.69
3314-bus,-1.75,0.23,-0.84
3994-bus,-1.60,0.30,-1.10
3317-bus,-1.74,0.24,-0.88
3013-bus,-0.97,0.26,-1.27
3046-bus,-1.83,0.14,-0.53
3044-bus,-1.85,0.13,-0.52
3035-bus,-1.23,0.17,-0.89
11090-bus,-1.98,0.19,-0.62
648-train,-1.32,0.27,-1.15
11093-bus,-2.02,0.18,-0.59
3295-bus,-1.80,0.28,-0.99
3302-bus,-1.49,0.29,-1.12
3299-bus,-1.81,0.28,-0.99
3029-bus,-1.02,0.08,-0.74
3332-bus,-1.91,0.23,-0.79
3040-bus,-1.63,0.21,-0.86
3028-bus,-1.18,0.09,-0.66
3011-bus,-1.85,0.02,-0.18
4963-bus,-1.35,-0.09,-0.07
9807-bus,-0.55,0.37,-1.61
8884-bus,-0.72,-0.44,0.98
9000-bus,-0.77,-0.38,0.89
8854-bus,-0.73,-0.23,0.27
9040-bus,-0.79,-0.37,0.86
9132-bus,-0.80,-0.31,0.72
9063-bus,-1.12,-0.31,0.73
9102-bus,-1.13,-0.33,0.81
9193-bus,-0.81,-0.33,0.78
9052-bus,-0.87,-0.10,0.13
9138-bus,-1.27,-0.19,0.58
9238-bus,-0.71,-0.25,0.53
9191-bus,-0.65,-0.19,0.32
9239-bus,-0.55,-0.17,0.22
9350-bus,-1.55,0.26,-0.98
8826-bus,-1.37,0.24,-1.05
3032-bus,-1.34,0.02,-0.42
3043-bus,-1.64,0.18,-0.76
3038-bus,-1.18,0.21,-1.06
3037-bus,-1.61,0.21,-0.87
8768-bus,-1.41,-0.21,0.29
3322-bus,-1.37,0.27,-1.14
3328-bus,-1.34,0.27,-1.15
3020-bus,-0.98,0.11,-0.84
6232-bus,-0.54,-0.43,0.83
6141-bus,-0.48,-0.46,0.88
11457-bus,-1.95,0.28,-0.91
3025-bus,-1.33,0.09,-0.64
7044-bus,-0.69,-0.53,1.02
3019-bus,-1.33,0.07,-0.55
4961-bus,-1.50,-0.05,-0.14
3394-bus,-2.00,0.09,-0.34
4391-bus,-1.10,0.19,-0.98
3382-bus,-0.44,0.16,-1.20
3034-bus,-1.70,0.14,-0.62
3298-bus,-1.29,0.09,-0.62
3395-bus,-0.50,0.12,-1.07
8402-bus,-1.75,-0.22,0.44
3026-bus,-1.80,0.07,-0.37
3383-bus,-0.34,0.24,-1.48
3361-bus,-0.93,0.07,-0.70
12685-bus,-0.21,-0.10,-0.49
12595-bus,-0.73,0.21,-1.18
10728-bus,-2.17,-0.37,1.09
11250-bus,1.26,-0.01,0.08
11414-bus,1.22,0.09,-0.23
10929-bus,1.37,0.02,-0.03
10296-bus,1.35,-0.60,0.95
10818-bus,1.47,-0.01,-0.04
10338-bus,1.25,-0.49,0.68
10275-bus,1.44,-0.67,1.15
11046-bus,1.37,0.07,-0.17
11136-bus,1.43,0.11,-0.30
10500-bus,1.32,-0.32,0.50
10434-bus,0.61,-0.36,0.53
10578-bus,0.27,-0.38,0.75
9959-bus,1.00,-0.75,1.56
10668-bus,-0.17,-0.36,0.85
9833-bus,0.14,-0.79,1.90
9724-bus,0.15,-0.72,1.62
9300-bus,1.03,-0.39,0.47
9261-bus,1.13,-0.45,0.61
9234-bus,0.87,-0.56,1.04
9739-bus,-0.11,-0.73,1.81
9246-bus,0.91,-0.52,0.89
9285-bus,1.00,-0.36,0.37
8798-bus,0.26,-0.41,0.80
9634-bus,1.40,-0.32,0.00
10144-bus,0.77,-0.24,0.18
8822-bus,0.57,-0.44,0.78
9670-bus,0.71,-0.46,0.58
8828-bus,0.26,-0.44,0.91
8849-bus,0.30,-0.43,0.86
9579-bus,1.36,-0.40,0.18
9531-bus,1.36,-0.29,-0.07
8181-bus,1.28,0.21,-0.43
8426-bus,1.25,-0.27,0.06
9902-bus,1.15,0.06,-0.84
9378-bus,1.44,-0.24,-0.18
8411-bus,1.30,-0.23,-0.07
9519-bus,1.56,-0.08,-0.58
9628-bus,1.58,-0.06,-0.64
9273-bus,1.33,-0.27,-0.07
9625-bus,1.16,-0.01,-0.62
8771-bus,0.92,0.31,-1.44
7747-bus,0.79,-0.20,0.07
3014-bus,-1.31,0.06,-0.56
8453-bus,-1.67,-0.19,0.33
3350-bus,-1.73,0.14,-0.59
3386-bus,-0.35,0.23,-1.45
7114-bus,-0.96,-0.50,1.05
4383-bus,-1.12,0.18,-0.95
3031-bus,-0.96,0.15,-0.94
6261-bus,-0.53,-0.44,0.84
5834-bus,-1.37,0.29,-1.19
3412-bus,-1.42,0.10,-0.61
9155-bus,-1.71,-0.32,0.75
3385-bus,-1.83,0.28,-0.96
6070-bus,-1.47,0.29,-1.11
10433-bus,-1.32,0.27,-1.16
10376-bus,-1.32,0.22,-0.99
10653-bus,-1.89,-0.27,0.69
10557-bus,-1.91,-0.22,0.54
12273-bus,-0.59,-0.01,-0.61
4002-bus,-1.34,0.30,-1.23
9372-bus,-1.72,-0.36,0.88
10842-bus,-2.21,-0.43,1.27
4916-bus,-1.25,-0.10,-0.08
6189-bus,-1.46,0.29,-1.12
9164-bus,-1.64,-0.29,0.66
6069-bus,-1.51,0.28,-1.09
9357-bus,-1.97,-0.48,1.32
10425-bus,-1.81,-0.18,0.39
10779-bus,-2.01,-0.36,1.00
8304-bus,-1.66,-0.12,0.13
6244-bus,-1.46,0.29,-1.12
9516-bus,-1.67,-0.49,1.23
12276-bus,-0.59,-0.03,-0.56
9243-bus,-1.89,-0.40,1.07
9643-bus,-1.96,-0.47,1.29
3379-bus,-1.83,0.28,-0.96
9450-bus,-1.64,-0.35,0.82
6849-bus,-0.22,-0.50,0.79
4939-bus,-0.87,-0.03,-0.45
12279-bus,-0.60,-0.03,-0.55
9857-bus,-1.51,-0.27,0.52
6789-bus,-0.34,-0.48,0.80
9760-bus,-1.62,-0.39,0.91
9107-bus,-1.66,-0.19,0.35
7189-bus,-0.89,-0.47,0.94
9005-bus,-1.64,-0.16,0.25
9026-bus,-1.63,-0.16,0.25
10468-bus,-1.73,0.25,-0.91
10755-bus,-1.36,0.25,-1.07
12270-bus,-1.47,0.08,-0.54
4349-bus,-1.23,0.30,-1.26
8978-bus,-1.59,-0.20,0.35
12280-bus,-0.59,-0.03,-0.57
12252-bus,-1.46,0.27,-1.08
10496-bus,-1.34,0.23,-1.03
6348-bus,-1.46,0.28,-1.12
12262-bus,-1.90,0.23,-0.76
6703-bus,-1.06,-0.47,1.06
8591-bus,-1.33,-0.11,-0.02
12269-bus,-1.66,0.28,-1.03
8954-bus,-1.53,-0.20,0.35
11564-bus,-0.35,-0.16,-0.07
11567-bus,0.15,-0.27,0.05
11537-bus,0.14,-0.29,0.12
11666-bus,-0.29,-0.29,0.28
11510-bus,1.16,-0.17,-0.63
11822-bus,-0.88,-0.25,0.41
5582-bus,-0.89,-0.20,0.06
4918-bus,-0.67,0.05,-0.76
5593-bus,-0.94,-0.27,0.29
12249-bus,-1.91,0.28,-0.93
10307-bus,-0.69,0.29,-1.46
6547-bus,-1.15,-0.56,1.37
12255-bus,-1.81,0.26,-0.89
3415-bus,-0.65,0.08,-0.85
12259-bus,-1.26,0.26,-1.12
12773-bus,-1.51,-0.14,0.14
10588-bus,-0.45,-0.12,0.14
10603-bus,-0.47,-0.12,0.14
10622-bus,-0.22,-0.12,0.07
10538-bus,0.24,-0.10,-0.14
10456-bus,0.24,-0.07,-0.28
10550-bus,0.20,-0.09,-0.19
10541-bus,0.24,-0.09,-0.19
10453-bus,0.06,-0.08,-0.18
10414-bus,0.11,-0.13,-0.17
10523-bus,0.34,-0.06,-0.30
10435-bus,0.16,-0.10,-0.23
10421-bus,0.19,-0.11,-0.24
10532-bus,0.22,-0.09,-0.19
10436-bus,0.17,-0.11,-0.24
10450-bus,0.10,-0.09,-0.19
10502-bus,0.22,0.00,-0.45
10661-bus,-0.33,-0.13,0.17
10492-bus,0.22,0.01,-0.49
10457-bus,-0.08,-0.09,-0.14
10534-bus,0.59,-0.07,-0.37
10517-bus,-0.06,-0.07,-0.12
10467-bus,-0.12,0.04,-0.46
10270-bus,-0.19,-0.10,-0.27
10451-bus,0.42,0.01,-0.67
10417-bus,0.71,-0.07,-0.57
10682-bus,-0.63,-0.14,0.31
10372-bus,0.31,-0.13,-0.21
10361-bus,0.24,-0.18,-0.04
10340-bus,0.15,-0.16,-0.04
10441-bus,0.60,-0.07,-0.54
10487-bus,0.03,0.04,-0.47
10298-bus,0.14,-0.13,-0.23
10507-bus,0.40,0.03,-0.58
10316-bus,-0.03,-0.13,-0.04
13-bus,-0.41,0.06,-0.37
10484-bus,0.10,0.10,-0.70
10775-bus,0.41,0.23,-1.21
15-bus,-0.98,0.08,-0.20
14-bus,-0.22,0.22,-0.94
10609-bus,-1.25,0.21,-0.98
10483-bus,-1.35,0.21,-0.95
3401-bus,-0.69,0.03,-0.70
6487-bus,-1.47,0.27,-1.06
8232-bus,-1.44,0.08,-0.55
8930-bus,-1.40,-0.20,0.28
8534-bus,-1.59,-0.12,0.09
10303-bus,-0.65,0.27,-1.41
12277-bus,-0.85,0.20,-1.12
10645-bus,-0.67,0.23,-1.28
4199-bus,-0.51,-0.05,-0.53
4190-bus,-0.43,0.00,-0.69
8366-bus,-1.51,0.24,-0.99
4151-bus,-0.64,-0.22,0.02
7174-bus,-0.80,0.09,-0.83
4206-bus,-0.35,0.04,-0.84
4136-bus,-0.62,-0.10,-0.33
6642-bus,-1.12,-0.54,1.29
4187-bus,-1.13,-0.15,0.04
4155-bus,-0.67,-0.23,0.06
4077-bus,-1.71,-0.01,-0.15
10669-bus,-0.68,0.24,-1.30
4073-bus,-1.69,0.06,-0.37
4160-bus,-0.73,-0.22,0.05
10607-bus,-0.95,0.22,-1.15
8825-bus,-1.39,-0.21,0.28
6692-bus,-1.25,0.30,-1.24
2901-bus,-1.75,0.23,-0.81
4071-bus,-1.83,0.13,-0.52
10613-bus,-0.90,0.25,-1.24
2922-bus,-1.98,0.25,-0.79
8894-bus,-1.30,-0.20,0.22
6549-bus,-1.52,0.22,-0.91
4038-bus,-1.80,0.15,-0.60
3995-bus,-0.90,-0.08,-0.27
3362-bus,-1.94,-0.04,0.01
4020-bus,-1.80,0.14,-0.57
8666-bus,-1.39,-0.17,0.17
4247-bus,-0.14,0.19,-1.39
4005-bus,-1.82,0.14,-0.56
4132-bus,-1.54,0.24,-0.94
3999-bus,-1.01,-0.23,0.23
5830-bus,-0.89,0.07,-0.74
2916-bus,-1.99,0.25,-0.78
10837-bus,-1.21,0.23,-1.05
4263-bus,-1.03,0.21,-1.09
12230-bus,-0.92,0.30,-1.38
7180-bus,-0.55,-0.44,0.70
10567-bus,0.13,0.29,-1.77
5677-bus,-0.68,-0.11,-0.30
10573-bus,-1.42,0.23,-0.95
4001-bus,-0.60,-0.14,-0.22
2904-bus,-1.72,0.24,-0.84
10600-bus,0.02,0.26,-1.66
2913-bus,-1.96,0.25,-0.78
4014-bus,-0.80,-0.18,0.00
10601-bus,0.01,0.27,-1.67
3335-bus,-1.81,0.04,-0.26
4011-bus,-0.72,-0.18,-0.03
10561-bus,-1.63,0.25,-0.94
4008-bus,-0.61,-0.17,-0.15
10883-bus,-0.80,0.21,-1.16
10558-bus,-1.62,0.26,-0.97
4013-bus,-0.61,-0.19,-0.10
12213-bus,-0.64,0.30,-1.52
3077-bus,-1.60,0.19,-0.77
12268-bus,-1.63,0.28,-1.04
10832-bus,0.17,0.15,-1.37
10699-bus,-1.72,0.05,-0.27
10799-bus,0.30,0.06,-1.11
10796-bus,0.29,0.08,-1.16
10406-bus,-2.03,-0.03,0.07
10802-bus,0.28,0.06,-1.11
10823-bus,-0.31,0.04,-0.83
10804-bus,0.31,0.04,-1.06
10660-bus,0.05,0.08,-0.90
10808-bus,-0.44,0.05,-0.79
10300-bus,-0.13,-0.07,0.10
10318-bus,-0.57,-0.09,0.30
10562-bus,0.06,-0.12,-0.34
10637-bus,0.42,0.15,-1.20
10559-bus,0.04,-0.15,-0.24
10525-bus,0.03,-0.10,-0.37
10556-bus,0.42,-0.12,-0.46
10570-bus,0.68,-0.04,-0.85
10519-bus,0.07,-0.09,-0.42
10522-bus,0.01,-0.07,-0.46
10498-bus,0.06,-0.12,-0.30
10633-bus,0.84,0.17,-1.40
10597-bus,-0.55,-0.20,0.11
10555-bus,0.33,-0.04,-0.71
10582-bus,0.10,-0.05,-0.48
10760-bus,0.15,0.22,-1.19
10781-bus,-0.63,0.06,-0.45
10705-bus,0.76,0.26,-1.53
10792-bus,-1.22,0.09,-0.33
10643-bus,0.61,0.21,-1.38
10358-bus,-1.34,0.14,-0.73
10544-bus,0.60,-0.07,-0.75
10672-bus,0.22,0.22,-1.22
10723-bus,0.74,0.24,-1.47
10594-bus,0.12,0.06,-0.74
10693-bus,-1.31,-0.11,0.43
10514-bus,-0.52,-0.11,-0.15
10678-bus,-0.72,-0.06,0.04
10771-bus,-0.24,0.17,-0.95
10724-bus,0.03,0.16,-0.95
10711-bus,-0.10,0.19,-0.95
10658-bus,-0.05,0.02,-0.47
10595-bus,0.20,0.05,-0.73
10744-bus,-0.19,0.18,-0.93
10648-bus,-0.11,0.15,-0.87
10630-bus,0.26,0.08,-0.79
10367-bus,-0.22,-0.03,-0.60
10405-bus,-0.17,-0.04,-0.38
10396-bus,-0.36,-0.05,-0.24
10381-bus,-0.11,0.00,-0.56
10691-bus,0.33,0.18,-1.13
10375-bus,-0.49,-0.02,-0.42
10675-bus,-0.05,0.24,-1.14
10684-bus,-0.24,0.20,-0.97
10490-bus,-0.81,-0.15,0.12
8675-bus,-1.24,-0.05,-0.24
4880-bus,-0.46,0.07,-0.89
10529-bus,-1.64,0.26,-0.98
12554-bus,0.45,-0.34,0.26
4031-bus,-0.60,-0.21,-0.04
4010-bus,-0.76,-0.07,-0.36
2910-bus,-1.98,0.25,-0.76
4007-bus,-0.50,-0.12,-0.34
12770-bus,-1.83,0.25,-0.86
12695-bus,0.67,0.41,-1.27
4035-bus,-0.81,-0.21,0.08
5794-bus,-0.93,0.01,-0.56
10535-bus,-1.25,0.23,-1.05
12769-bus,-1.84,0.20,-0.73
5749-bus,-0.97,-0.04,-0.41
4025-bus,-0.70,-0.16,-0.11
4040-bus,-0.52,-0.19,-0.12
12662-bus,0.59,0.61,-1.67
4016-bus,-1.15,-0.14,0.00
10856-bus,-0.82,0.20,-1.11
2907-bus,-1.95,0.25,-0.79
4667-bus,-1.61,0.21,-0.86
4353-bus,-0.82,0.10,-0.81
12240-bus,-1.16,0.24,-1.10
6184-bus,-2.00,-0.20,0.52
4068-bus,-0.32,-0.10,-0.47
4046-bus,-0.47,-0.16,-0.24
4205-bus,-0.02,0.19,-1.40
7628-bus,-0.03,-0.33,0.25
4379-bus,-1.10,0.16,-0.89
4376-bus,-1.09,0.17,-0.94
4385-bus,-1.09,0.20,-1.01
3725-bus,-1.38,0.05,-0.44
3731-bus,-1.35,0.07,-0.53
4094-bus,-0.33,-0.04,-0.64
10511-bus,-0.96,0.22,-1.11
3761-bus,-1.89,-0.11,0.24
4176-bus,0.05,0.16,-1.35
5048-bus,-1.37,-0.01,-0.30
4029-bus,-0.45,-0.15,-0.27
2928-bus,-1.55,0.21,-0.85
11032-bus,-0.48,0.18,-1.18
2961-bus,-2.11,0.20,-0.55
10982-bus,-0.54,0.11,-0.96
11036-bus,-0.75,0.16,-1.00
4997-bus,-1.49,-0.17,0.23
12215-bus,-0.66,0.26,-1.39
11039-bus,-1.48,0.15,-0.71
11882-bus,0.09,-0.03,-0.38
12032-bus,0.10,0.00,-0.46
12226-bus,-0.06,-0.01,-0.36
12151-bus,0.04,-0.02,-0.37
12348-bus,-0.52,0.18,-0.79
12621-bus,-0.97,0.46,-1.41
12681-bus,-0.98,0.47,-1.43
12599-bus,-1.16,0.50,-1.39
2890-bus,-1.31,0.30,-1.22
10973-bus,-0.95,0.09,-0.74
7192-bus,-0.40,-0.41,0.58
5008-bus,-1.33,0.00,-0.33
4251-bus,0.19,0.02,-0.98
11023-bus,-0.44,0.18,-1.21
3074-bus,-1.07,-0.07,-0.19
11017-bus,-0.45,0.17,-1.17
3058-bus,-1.04,0.25,-1.20
4224-bus,0.37,0.10,-1.27
4203-bus,0.80,0.12,-1.51
3707-bus,-1.09,0.04,-0.53
8603-bus,-1.72,-0.05,-0.06
10990-bus,-0.46,0.12,-1.01
3068-bus,-1.31,-0.06,-0.12
3701-bus,-1.48,0.08,-0.49
4310-bus,-0.93,-0.05,-0.34
3704-bus,-1.46,0.06,-0.43
3713-bus,-1.05,0.11,-0.77
5158-bus,-1.49,-0.29,0.59
4260-bus,0.01,-0.03,-0.78
2955-bus,-2.11,0.20,-0.55
4283-bus,-0.48,-0.12,-0.33
3266-bus,-1.62,0.26,-0.99
2970-bus,-2.16,0.23,-0.63
4118-bus,0.52,0.03,-1.16
3082-bus,-0.98,0.07,-0.65
4157-bus,0.78,0.16,-1.63
4102-bus,-1.37,0.04,-0.41
4244-bus,0.12,0.01,-0.91
5110-bus,-1.87,-0.39,1.05
5014-bus,-1.58,-0.28,0.59
4331-bus,-0.61,0.00,-0.62
11604-bus,-1.96,0.30,-0.91
7992-bus,-1.63,0.30,-1.08
4140-bus,0.77,0.15,-1.60
5057-bus,-1.68,-0.36,0.86
4044-bus,-0.44,-0.11,-0.36
3076-bus,-0.72,-0.02,-0.48
4254-bus,-0.11,-0.05,-0.67
5174-bus,-1.38,-0.18,0.24
4373-bus,-1.12,0.06,-0.58
5087-bus,-1.91,-0.38,1.02
3695-bus,-1.53,0.08,-0.46
3213-bus,-1.86,0.19,-0.65
3734-bus,-1.29,0.17,-0.83
4148-bus,0.82,0.16,-1.62
3850-bus,-1.07,0.29,-1.26
10931-bus,-1.85,0.06,-0.29
3073-bus,-0.71,-0.02,-0.49
2949-bus,-2.15,0.19,-0.50
3052-bus,-1.79,0.30,-1.01
10966-bus,-1.85,0.20,-0.72
4358-bus,-0.61,0.03,-0.71
3872-bus,-1.90,0.26,-0.82
2946-bus,-2.13,0.19,-0.50
11011-bus,-1.35,0.15,-0.76
2952-bus,-2.12,0.19,-0.53
4017-bus,-0.40,-0.07,-0.52
3070-bus,-0.86,-0.03,-0.41
3249-bus,-1.86,0.17,-0.59
3719-bus,-1.33,0.08,-0.56
5182-bus,-1.28,-0.10,-0.04
3234-bus,-1.88,0.18,-0.59
11012-bus,-0.19,0.18,-1.35
10470-bus,0.01,0.16,-1.37
3692-bus,-1.33,0.05,-0.47
4281-bus,-1.17,0.17,-0.90
11020-bus,-0.16,0.17,-1.33
10999-bus,-1.75,0.23,-0.84
10505-bus,-0.21,0.13,-1.16
4004-bus,-0.72,-0.06,-0.44
10951-bus,-1.53,0.07,-0.45
10906-bus,-1.19,0.22,-1.03
2943-bus,-2.16,0.21,-0.57
2940-bus,-2.15,0.22,-0.61
3896-bus,-1.70,0.25,-0.90
11018-bus,-0.17,0.19,-1.38
11259-bus,-0.03,0.33,-1.37
11202-bus,0.00,0.36,-1.49
11142-bus,0.04,0.39,-1.59
11031-bus,0.07,0.42,-1.71
11399-bus,1.04,0.11,-1.15
11411-bus,1.03,0.05,-0.96
11669-bus,0.71,-0.05,-0.51
12378-bus,-0.03,-0.24,0.13
12525-bus,0.42,-0.29,0.08
11579-bus,0.96,0.08,-1.03
12399-bus,0.10,-0.16,-0.13
12549-bus,0.33,-0.27,0.08
12633-bus,0.68,-0.20,-0.23
12582-bus,0.29,-0.22,-0.01
11519-bus,0.40,0.01,-0.84
11384-bus,-0.08,-0.14,-0.27
10177-bus,0.96,0.15,-1.28
10890-bus,0.32,-0.06,-0.68
11220-bus,0.81,0.33,-1.82
10979-bus,-1.41,0.23,-1.00
10970-bus,-1.39,0.23,-1.01
10985-bus,-0.22,0.24,-1.51
10996-bus,-0.16,0.25,-1.55
10921-bus,-1.22,0.20,-0.97
10499-bus,-0.09,0.11,-1.16
4095-bus,-0.11,-0.03,-0.72
12274-bus,-1.88,0.28,-0.91
3258-bus,-1.87,0.17,-0.58
3219-bus,-1.91,0.18,-0.59
10442-bus,-1.17,0.19,-0.98
4153-bus,-1.66,0.29,-1.02
4065-bus,-0.40,-0.07,-0.47
11119-bus,-1.14,-0.27,0.42
10927-bus,-1.33,0.23,-1.01
10843-bus,-1.73,0.28,-0.97
4032-bus,-0.32,-0.08,-0.50
10429-bus,-1.15,0.21,-1.03
3808-bus,-1.03,0.30,-1.31
4056-bus,-0.42,-0.07,-0.46
10840-bus,-1.17,0.29,-1.26
7784-bus,-1.60,0.31,-1.10
5239-bus,-0.38,-0.07,-0.48
3805-bus,-1.03,0.30,-1.30
10922-bus,-1.63,0.05,-0.36
