                Factor1       Factor2       Factor3
11081-bus -1.921485e+00  2.053352e-01 -0.6914124385
11054-bus -8.004893e-01  1.947150e-01 -1.1293916697
7042-bus  -1.315608e+00 -5.408991e-01  1.3277783070
6783-bus  -9.139034e-01 -4.340959e-01  0.9399411823
3458-bus  -1.966686e+00  2.495771e-01 -0.8157109642
11086-bus -2.012760e+00  1.140178e-01 -0.3845745173
6910-bus   1.006119e-01 -4.682027e-01  0.5654335079
12733-bus  6.040548e-01 -1.314636e-01  0.0901200106
3472-bus  -1.967025e+00  2.539753e-01 -0.8285353040
4083-bus  -1.777108e+00 -5.532119e-02 -0.0029343234
10949-bus -1.895737e+00  1.793430e-01 -0.6299419995
2998-bus  -1.412315e+00  2.706799e-01 -1.1192422087
11030-bus -1.325360e+00  2.168373e-01 -0.9782037036
10940-bus -1.890263e+00  1.834936e-01 -0.6444832355
3445-bus  -1.915850e+00  1.322380e-01 -0.4998917404
11087-bus -1.980383e+00  1.479311e-01 -0.4966240504
2958-bus  -2.141373e+00  2.805332e-01 -0.8297006061
3050-bus  -1.766207e+00  2.240154e-01 -0.8187267054
12282-bus -1.499614e+00  8.980110e-02 -0.5437767511
10928-bus -1.653053e+00  2.029784e-01 -0.8047494205
11041-bus -7.467257e-01  1.700335e-01 -1.0716419359
12768-bus -2.043403e+00  3.921994e-02 -0.1630861271
3389-bus  -1.968857e+00  8.490619e-02 -0.3370264446
3047-bus  -1.793129e+00  1.975642e-01 -0.7296215988
3367-bus  -1.773911e+00  1.103094e-01 -0.4771716825
3359-bus  -1.779055e+00  1.069664e-01 -0.4652029012
11089-bus -2.003120e+00  1.629733e-01 -0.5348512529
3993-bus  -1.597955e+00  2.951217e-01 -1.1023926685
3007-bus  -1.117975e+00  2.501648e-01 -1.1843230208
4566-bus  -5.437860e-01  3.026469e-01 -1.5724932217
3331-bus  -1.823875e+00  1.043204e-01 -0.4427648969
3008-bus  -1.766254e+00  2.599081e-01 -0.9309015253
3005-bus  -1.649778e+00  2.444782e-01 -0.9243956020
11098-bus -1.985107e+00  2.131177e-01 -0.6924766381
3314-bus  -1.751794e+00  2.289843e-01 -0.8444288131
3994-bus  -1.596101e+00  2.951534e-01 -1.1032890522
3317-bus  -1.742553e+00  2.395341e-01 -0.8791824402
3013-bus  -9.695518e-01  2.619431e-01 -1.2693518649
3046-bus  -1.832068e+00  1.358879e-01 -0.5298834383
3044-bus  -1.846959e+00  1.335884e-01 -0.5190017310
3035-bus  -1.230661e+00  1.666398e-01 -0.8935811125
11090-bus -1.976749e+00  1.890317e-01 -0.6217660387
648-train -1.315627e+00  2.717448e-01 -1.1496780088
11093-bus -2.018745e+00  1.843297e-01 -0.5944221085
3295-bus  -1.802462e+00  2.839184e-01 -0.9919645046
3302-bus  -1.491348e+00  2.861945e-01 -1.1245089057
3299-bus  -1.808807e+00  2.839550e-01 -0.9892560328
3029-bus  -1.024043e+00  8.457903e-02 -0.7360399889
3332-bus  -1.911145e+00  2.345795e-01 -0.7897436577
3040-bus  -1.628959e+00  2.134027e-01 -0.8573427182
3028-bus  -1.183877e+00  8.563912e-02 -0.6619800845
3011-bus  -1.850262e+00  1.630923e-02 -0.1847100962
4963-bus  -1.352073e+00 -9.048500e-02 -0.0718193811
9807-bus  -5.523431e-01  3.701885e-01 -1.6148779979
8884-bus  -7.163226e-01 -4.398673e-01  0.9846172752
9000-bus  -7.688403e-01 -3.841790e-01  0.8933741341
8854-bus  -7.330094e-01 -2.308288e-01  0.2659388229
9040-bus  -7.919750e-01 -3.707970e-01  0.8619324504
9132-bus  -8.048141e-01 -3.092748e-01  0.7161245744
9063-bus  -1.122613e+00 -3.092605e-01  0.7305209708
9102-bus  -1.132066e+00 -3.294748e-01  0.8072320235
9193-bus  -8.099475e-01 -3.256613e-01  0.7833087624
9052-bus  -8.684037e-01 -9.575197e-02  0.1292348326
9138-bus  -1.269165e+00 -1.934786e-01  0.5795331098
9238-bus  -7.079895e-01 -2.535219e-01  0.5318838427
9191-bus  -6.503910e-01 -1.890849e-01  0.3179579164
9239-bus  -5.521389e-01 -1.671592e-01  0.2207320604
9350-bus  -1.547424e+00  2.557152e-01 -0.9797890907
8826-bus  -1.369224e+00  2.444532e-01 -1.0456147444
3032-bus  -1.340841e+00  2.297440e-02 -0.4232281068
3043-bus  -1.635444e+00  1.831968e-01 -0.7632563146
3038-bus  -1.178380e+00  2.144445e-01 -1.0563273878
3037-bus  -1.610235e+00  2.147993e-01 -0.8675012825
8768-bus  -1.410618e+00 -2.090807e-01  0.2935112480
3322-bus  -1.370488e+00  2.724189e-01 -1.1417018669
3328-bus  -1.335911e+00  2.703918e-01 -1.1460783324
3020-bus  -9.788879e-01  1.138188e-01 -0.8403592113
6232-bus  -5.437163e-01 -4.335874e-01  0.8328055955
6141-bus  -4.792024e-01 -4.628792e-01  0.8793597589
11457-bus -1.954644e+00  2.796072e-01 -0.9060655078
3025-bus  -1.327663e+00  9.333387e-02 -0.6394010526
7044-bus  -6.860880e-01 -5.260746e-01  1.0191375895
3019-bus  -1.334753e+00  6.577729e-02 -0.5492611126
4961-bus  -1.497593e+00 -4.532670e-02 -0.1358347277
3394-bus  -2.000377e+00  9.304083e-02 -0.3367499297
4391-bus  -1.103496e+00  1.876045e-01 -0.9753779588
3382-bus  -4.399531e-01  1.582983e-01 -1.1950757291
3034-bus  -1.702806e+00  1.445470e-01 -0.6244403390
3298-bus  -1.285900e+00  8.550053e-02 -0.6182228242
3395-bus  -4.985012e-01  1.226317e-01 -1.0678036491
8402-bus  -1.747082e+00 -2.160400e-01  0.4440742796
3026-bus  -1.802074e+00  7.233826e-02 -0.3731913363
3383-bus  -3.409439e-01  2.411014e-01 -1.4783879782
3361-bus  -9.285730e-01  6.523415e-02 -0.7003137119
12685-bus -2.103083e-01 -9.565883e-02 -0.4886890024
12595-bus -7.281202e-01  2.131757e-01 -1.1844812244
10728-bus -2.171303e+00 -3.727864e-01  1.0870465012
11250-bus  1.263098e+00 -5.920814e-03  0.0834313907
11414-bus  1.215119e+00  8.801328e-02 -0.2276504261
10929-bus  1.373243e+00  2.213278e-02 -0.0286651178
10296-bus  1.352705e+00 -6.003270e-01  0.9462410787
10818-bus  1.471265e+00 -1.181102e-02 -0.0418661506
10338-bus  1.252168e+00 -4.928854e-01  0.6826069677
10275-bus  1.440115e+00 -6.748966e-01  1.1547308274
11046-bus  1.371385e+00  7.342199e-02 -0.1667629778
11136-bus  1.432243e+00  1.110988e-01 -0.3030716419
10500-bus  1.323151e+00 -3.162588e-01  0.4976680616
10434-bus  6.103481e-01 -3.575873e-01  0.5295079917
10578-bus  2.674549e-01 -3.833655e-01  0.7460850036
9959-bus   9.960789e-01 -7.488290e-01  1.5647987518
10668-bus -1.729753e-01 -3.646322e-01  0.8476244354
9833-bus   1.445900e-01 -7.897495e-01  1.9023365229
9724-bus   1.506464e-01 -7.152208e-01  1.6173372155
9300-bus   1.034750e+00 -3.915075e-01  0.4682883999
9261-bus   1.134593e+00 -4.495946e-01  0.6116972130
9234-bus   8.668163e-01 -5.642095e-01  1.0406580457
9739-bus  -1.094494e-01 -7.303060e-01  1.8111190989
9246-bus   9.107722e-01 -5.188168e-01  0.8906337476
9285-bus   9.992221e-01 -3.561308e-01  0.3658692279
8798-bus   2.648658e-01 -4.067574e-01  0.7959672827
9634-bus   1.400252e+00 -3.218172e-01  0.0006869822
10144-bus  7.654521e-01 -2.440192e-01  0.1799149769
8822-bus   5.686834e-01 -4.406970e-01  0.7763103405
9670-bus   7.074374e-01 -4.618592e-01  0.5790604816
8828-bus   2.576228e-01 -4.432817e-01  0.9100456991
8849-bus   2.964296e-01 -4.311163e-01  0.8581570508
9579-bus   1.356850e+00 -4.032831e-01  0.1763328109
9531-bus   1.362071e+00 -2.861634e-01 -0.0694978177
8181-bus   1.283358e+00  2.141046e-01 -0.4302292655
8426-bus   1.246915e+00 -2.724494e-01  0.0640907069
9902-bus   1.146474e+00  6.288935e-02 -0.8402117950
9378-bus   1.440869e+00 -2.411292e-01 -0.1777667633
8411-bus   1.302860e+00 -2.349053e-01 -0.0675581625
9519-bus   1.562888e+00 -7.996200e-02 -0.5757801540
9628-bus   1.584450e+00 -6.116024e-02 -0.6406670687
9273-bus   1.332812e+00 -2.653781e-01 -0.0660573783
9625-bus   1.162972e+00 -6.009420e-03 -0.6183311889
8771-bus   9.153541e-01  3.095031e-01 -1.4434862685
7747-bus   7.888588e-01 -2.045907e-01  0.0685840219
3014-bus  -1.308563e+00  6.408004e-02 -0.5556325893
8453-bus  -1.672188e+00 -1.871776e-01  0.3328050568
3350-bus  -1.727346e+00  1.385508e-01 -0.5875587189
3386-bus  -3.516827e-01  2.336685e-01 -1.4519884388
7114-bus  -9.611388e-01 -5.007854e-01  1.0484850472
4383-bus  -1.115134e+00  1.794666e-01 -0.9466182488
3031-bus  -9.606441e-01  1.478276e-01 -0.9443058222
6261-bus  -5.283465e-01 -4.381898e-01  0.8404923270
5834-bus  -1.368082e+00  2.897156e-01 -1.1851870061
