OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize
551,551-train,train,182-train,323995.0393,5822440.976,800,1699.700577,70.3,0.021341479,0.072784892,0.104969406,114,0.303744495,0,1.330772702,0,0,0.003533583,3457.363466,0,37856.92629,88.53846154,27.84615385,0,0,88.53846154,500,0.028823484,0.502093655,0.49,-0.33,0.470118288,0.565547874,2.736690432
475,475-train,train,156-train,329838.9711,5822829.033,800,2087.428725,152.2,0.01899444,0.017685977,0.114475151,116,0.327210521,0,3.372081932,0,0,0.000763943,2165.700892,0,35648.01976,168.0769231,25.23076923,0,0,168.0769231,500,0.039456713,0.515528242,0.364,-0.136,-0.388889305,0.567684616,2.509845594
473,473-train,train,139-train,320323.0403,5823190.989,800,1317.914505,39,0.132133491,0.10866289,0.158692437,83,0.329763407,0,2.578573029,0,0,0.006613955,2284.299757,0.0025498,37002.77624,74.84615385,24.38461538,0,0,74.84615385,300,0.026034672,0.424602893,1.31,0.0219,-0.885612937,0.552062189,2.871177818
548,548-train,train,181-train,324340.0159,5823726.991,800,3847.172983,#N/A,0.063633175,0.025427274,0.105115963,116,0.44002282,1,0.042631036,1,0,0.011828219,3297.733055,0,61305.7731,90.38461538,46.07692308,0,0,90.38461538,300,0.065049841,0.462697829,2.04,-0.337,-0.376695954,0.547207522,2.683848876
487,487-train,train,160-train,336745.999,5824351.964,800,2003.04189,219.7,0.293856479,0.050489418,0.190742241,106,0.164701897,1,0.175702199,1,0,0.004209946,1722.084732,0,22385.24847,75.07692308,135.4615385,0,0,75.07692308,500,0.01809686,0.47990353,0.815,-0.0101,-0.971604057,0.565899257,2.538244189
478,478-train,train,157-train,331095.9664,5824525.997,800,2314.015723,59.3,0.018884009,0.035756576,0.102749925,113,0.043030007,1,1.944075195,0,0,0.00100213,2299.16397,0,49022.09782,89.30769231,25.61538462,0,0,89.30769231,500,0.024724154,0.388436313,1.29,-0.142,-0.748359278,0.607662155,2.516368983
545,545-train,train,180-train,324541.0349,5824728.949,800,1400.480594,6.3,0.010454087,0.024982145,0.077771504,91,0.342489763,0,0.981038168,0,0,0.004045724,3320.643504,0,56372.66618,88.07692308,25.30769231,0,0,88.07692308,300,0.053887978,0.438839666,0.489,-0.434,0.456837655,0.578910315,2.566573865
595,595-train,train,199-train,316395.9636,5824925.036,800,3857.844623,125.5,0.088589802,0.017281917,0.103081836,102,0,1,0.016636653,1,0,0.007660639,3610.543502,0,62905.98629,92.23076923,58.46153846,0,0,92.23076923,300,0.036493092,0.479883146,0.773,-0.478,0.461257473,0.54472512,2.87826168
518,518-train,train,171-train,303775.9607,5825012.968,800,5955.354448,92.5,0,0.055892819,0.139219623,69,0,1,0.379773696,1,0,0.007893275,1905.323495,0,23729.95381,91.76923077,201.2307692,0,0,91.76923077,300,0.040811795,0.421712423,0.52,-0.0213,-0.79471997,0.543225021,3.455712668
479,479-train,train,137-train,320058.9714,5825433.999,800,1007.709911,79.9,0.162910439,0.040691727,0.142277145,71,0,0,3.688897264,0,0,0.003207618,1956.238412,0,36450.80739,76.30769231,62.23076923,0,0,76.30769231,150,0.032458798,0.366144839,1.16,-0.0243,-0.998279023,0.517918067,2.743408223
481,481-train,train,158-train,333235.9638,5825347.008,800,2375.806869,135.4,0.283085716,0.153453014,0.176679968,87,0.28360826,1,0.396381303,1,0,0.004772571,1781.648125,0,20850.2063,91.61538462,86,0,0,91.61538462,500,0.02736994,0.432098753,1.27,0.114,-1.200733331,0.589083368,2.558320149
542,542-train,train,179-train,324719.0158,5826179.014,800,1414.992928,166.4,0.357997612,0.090825825,0.174180185,77,0.173834639,0,2.440789912,0,0,0.000905578,1278.398826,0,64613.16805,88.07692308,46.38461538,0,0,88.07692308,300,0.029652822,0.351964194,1.03,0.197,-1.493072468,0.545515847,2.868082205
589,589-train,train,197-train,316553.9803,5827314.029,800,3123.253924,40.1,0.338835232,0.148703412,0.156816256,68,0.043089287,1,0.343853539,1,0,0.001968346,1732.007726,0,35638.76831,91.76923077,227.0769231,0,0,91.76923077,150,0.089212145,0.330436011,2.26,0.304,-1.849398238,0.48854298,3.093009818
539,539-train,train,178-train,324896.0112,5827796.01,800,2814.022176,56.3,0.144303502,0.061787313,0.130122009,119,0.314265166,1,2.875943587,0,0,0.006530974,2738.017526,0,46105.04669,90.38461538,144.9230769,0,0,90.38461538,150,0.050295487,0.368070097,1.26,-0.0933,-0.469357377,0.510851056,2.646647844
490,490-train,train,161-train,337599.9821,5828837.049,800,600.1625342,31.9,0.168197145,0.017816602,0.177001661,66,0,0,0.11282098,1,0,0.003772744,1306.664718,0,1809.060701,41.30769231,48.30769231,0,0,41.30769231,500,0.020304771,0.36862334,0.418,0.0383,-1.100460078,0.603551982,2.674955138
482,482-train,train,136-train,318905.0059,5829249.977,800,1268.094743,39.9,0.385826345,0.084747446,0.155068727,56,0,0,2.845529757,0,0,0.002313864,1948.452404,0,56132.18119,75.84615385,52.46153846,0,0,75.84615385,100,0.052746903,0.263793489,-0.0383,0.128,-0.557500282,0.48854298,3.501427106
536,536-train,train,177-train,325118.9858,5829408.972,800,2183.55186,11.1,0.031794075,0.038696224,0.123777268,84,0.314860087,0,1.256217271,0,0,0.005552389,2423.242844,0,44889.24375,90.07692308,52.76923077,0,0,90.07692308,150,0.044257373,0.278417545,0.316,-0.202,-0.215601394,0.539186786,2.830423517
635,635-train,train,213-train,317068.0394,5829772.949,800,1178.657943,32.8,0,0.054894786,0.106138883,120,0.198142461,1,2.178468901,0,0,0.002121632,2509.777307,0,26867.60304,88.07692308,61,0,0,88.07692308,100,0.075883631,0.180840085,0.368,-0.0369,-0.316730197,0.48854298,3.331359845
493,493-train,train,162-train,339618.0413,5829911.992,800,178.2654621,1,0,0.038006794,0.128350109,27,0,0,2.300242034,0,0,0.001547913,606.2916558,0,1913.195961,41.30769231,4.538461538,0,0,41.30769231,500,0.011651507,0.324013928,-0.84,0.187,-1.04831719,0.531723378,3.390123307
533,533-train,train,176-train,326228.0276,5830927.017,800,3178.855247,3.8,0.605879762,0.109079822,0.152685868,84,0.231353547,1,0.810199165,0,0,0.003909395,2017.41114,0,45061.23724,90.38461538,171.1538462,0,0,90.38461538,150,0.04228376,0.358623686,0.445,0.051,-0.660235344,0.536956599,2.928386541
643,643-train,train,216-train,329476.9631,5831352.977,800,4016.605365,65.3,0.321072793,0.131883027,0.18419256,91,0,1,0.382027571,1,0,0.004046582,1243.790077,0,28715.35361,86.23076923,207.4615385,0,0,86.23076923,150,0.038221464,0.297970578,0.902,0.186,-1.446698702,0.554481363,2.847770364
631,631-train,train,211-train,317837.0275,5832318.024,800,1977.825752,117.7,0.331192034,0.061386782,0.126299929,65,0,0,0.300729579,1,0,0.003468369,2126.085287,0,33675.21441,87.84615385,155.7692308,0,0,87.84615385,150,0.092414771,0.381340932,-0.0268,-0.0305,-0.406377585,0.53692139,3.526242571
654,654-train,train,2-train,298791.9624,5833121.945,800,774.8531454,4.3,0.007345414,0.023887973,0.153696521,42,0,1,5.314772434,0,0,0.000703464,855.2158433,0,2164.579999,0,7.846153846,0,0,0,500,0.010790729,0.184685219,-0.882,0.0995,-0.805401779,0.614804109,2.862834211
655,655-train,train,220-train,332096.985,5834310.95,800,624.2308396,9.5,0,0.010306911,0.090693432,84,0.349995343,1,2.328741591,0,0,0,1718.066034,0,4425.439359,0,51.30769231,0,0,0,500,0.028472779,0.370815093,-1.33,-0.115,0.032801197,0.607615055,3.394317242
633,633-train,train,212-train,318446.9726,5836373.989,800,4011.078253,832.7,0.272033404,0.036723977,0.174887983,75,0,1,0.473604441,1,0,0.001073383,1350.63455,0,41021.82552,88.38461538,159.7692308,0,0,88.38461538,150,0.049938566,0.302911916,-0.344,0.0461,-0.731541153,0.539269091,3.088369676
658,658-train,train,221-train,332359.0009,5836585.997,800,1777.254246,33,0,0.016396901,0.061743116,13,0,1,0.25557577,1,0,0,903.9821557,0,1926.61148,0,0,0,0,0,500,0.029695537,0.437114508,-0.489,0.106,-0.983502157,0.573503887,3.182259278
660,660-train,train,1-train,299316.0194,5838455.997,800,2681.692393,76.6,0.317441334,0.018687978,0.178258057,72,0,1,0.192643414,1,0,0.001536101,973.2207327,0,2243.265364,39.76923077,162.3076923,0,0,39.76923077,300,0.015842261,0.216357835,0.96,0.129,-1.575616234,0.52576619,2.266779076
