OBJECTID,FID_Tram_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
387,848,Location 848,1,775416,0.950210555770493,2,0,0,0.000000000000000,,315999.5111,5820264.5485,160.000000000000000,848,6830,Location 6830,1,775951,0.969345250926255,1,0,0,0.000000000000000,,316046.528900001,5820180.5002
388,849,Location 849,1,11075,0.987184149439508,1,0,0,0.000000000000000,,318898.478400001,5820320.9827,160.000000000000000,849,6860,Location 6860,1,11597,0.248449792542634,1,0,0,0.000000000000000,,318921.492,5820314.4953
389,851,Location 851,1,856914,0.367719467288027,2,0,0,0.000000000000000,,321802.993800001,5820416.4829,160.000000000000000,851,6874,Location 6874,1,763532,0.347853147688180,1,0,0,0.000000000000000,,321741.003300001,5820394.4939
390,856,Location 856,1,15405,0.028306382798544,2,0,0,0.000000000000000,,320789.482,5820532.0045,160.000000000000000,856,6903,Location 6903,1,785446,0.052329019608835,1,0,0,0.000000000000000,,320783.975200001,5820529.9991
391,855,Location 855,1,862495,0.553255454222526,1,0,0,0.000000000000000,,315770.001600002,5820524.4854,160.000000000000000,855,6910,Location 6910,1,862495,0.193346858793200,1,0,0,0.000000000000000,,315697.964700001,5820552.5166
392,854,Location 854,1,875871,0.192412304176177,1,0,0,0.000000000000000,,324321.969500001,5820525.9516,160.000000000000000,854,6908,Location 6908,1,875875,0.716946586046158,1,0,0,0.000000000000000,,324256.480700001,5820554.474
393,857,Location 857,1,875381,0.164334351772411,1,0,0,0.000000000000000,,324360.959000001,5820561.9741,160.000000000000000,857,6908,Location 6908,1,875875,0.716946586046158,1,0,0,0.000000000000000,,324256.480700001,5820554.474
394,861,Location 861,1,730994,0.662338432102696,1,0,0,0.000000000000000,,322824.031600001,5820674.957,160.000000000000000,861,6939,Location 6939,1,729913,0.932083131244602,1,0,0,0.000000000000000,,322825.5124,5820708.0177
395,862,Location 862,1,731281,0.233757032221834,1,0,0,0.000000000000000,,322839.028400001,5820736.0049,160.000000000000000,862,6939,Location 6939,1,729913,0.932083131244602,1,0,0,0.000000000000000,,322825.5124,5820708.0177
396,865,Location 865,1,14297,0.403415134951083,1,0,0,0.000000000000000,,315230.504800001,5820783.9694,160.000000000000000,865,6956,Location 6956,1,14297,0.525654700311211,2,0,0,0.000000000000000,,315216.499500001,5820788.9839
397,864,Location 864,1,726521,0.139204174873454,2,0,0,0.000000000000000,,321866.020800001,5820793.9692,160.000000000000000,864,6964,Location 6964,1,729948,0.689219238566687,1,0,0,0.000000000000000,,321811.992000001,5820828.4906
398,870,Location 870,1,11651,0.969604730548911,2,0,0,0.000000000000000,,320835.018400001,5820939.4843,160.000000000000000,870,6997,Location 6997,1,737966,0.257571309063200,2,0,0,0.000000000000000,,320887.001300001,5820957.0078
399,869,Location 869,1,11240,0.678439365613183,1,0,0,0.000000000000000,,314912.0022,5820941.5257,160.000000000000000,869,6989,Location 6989,1,778795,0.940575686233179,2,0,0,0.000000000000000,,314841.9977,5820969.0448
400,875,Location 875,1,14284,0.086750249179219,1,0,0,0.000000000000000,,318981.980099999,5821111.0503,160.000000000000000,875,7018,Location 7018,1,14163,0.493861258537757,1,0,0,0.000000000000000,,319110.994500001,5821113.9941
401,874,Location 874,1,13625,0.294260340527703,2,0,0,0.000000000000000,,314601.016100001,5821097.5185,160.000000000000000,874,7020,Location 7020,1,11416,0.459791358814426,2,0,0,0.000000000000000,,314520.005100001,5821137.9959
402,875,Location 875,1,14284,0.086750249179219,1,0,0,0.000000000000000,,318981.980099999,5821111.0503,160.000000000000000,875,7034,Location 7034,1,16209,0.059876237986489,2,0,0,0.000000000000000,,318937.683,5821165.3272
403,877,Location 877,1,12046,0.385064652145925,2,0,0,0.000000000000000,,314291.9867,5821238.5009,160.000000000000000,877,7046,Location 7046,1,13334,0.688949735545350,2,0,0,0.000000000000000,,314282.0163,5821167.9803
